50, 0.002637, 0.105485, 
50, 0.013186, 0.210971, 
50, 0.036920, 0.474685, 
50, 0.076477, 0.791141, 
50, 0.131857, 1.107598, 
50, 0.203060, 1.424054, 
50, 0.290085, 1.740511, 
50, 0.392933, 2.056967, 
50, 0.511605, 2.373424, 
50, 0.646099, 2.689880, 
50, 0.796415, 3.006337, 
50, 0.962555, 3.322793, 
50, 1.144518, 3.639250, 
50, 1.342303, 3.955706, 
50, 1.555911, 4.272163, 
50, 1.785342, 4.588619, 
50, 2.030596, 4.905076, 
50, 2.289035, 5.168789, 
50, 2.554301, 5.305307, 
50, 2.817395, 5.261887, 
50, 3.070407, 5.060238, 
50, 3.309148, 4.774814, 
50, 3.532065, 4.458358, 
50, 3.739160, 4.141901, 
50, 3.930433, 3.825445, 
50, 4.105882, 3.508988, 
50, 4.265509, 3.192532, 
50, 4.409312, 2.876075, 
50, 4.537293, 2.559619, 
50, 4.649452, 2.243162, 
50, 4.745787, 1.926706, 
50, 4.826299, 1.610249, 
50, 4.890989, 1.293793, 
50, 4.939856, 0.977336, 
50, 4.972900, 0.660880, 
50, 4.991206, 0.366134, 
50, 4.998498, 0.145840, 
50, 5.000050, 0.031033, 
50, 5.000050, 0.000000, 
